innings,team,wicket_number,player_out,score,over
1,Royal Challengers Bengaluru,1,V Kohli,37,5.3
1,Royal Challengers Bengaluru,2,PD Salt,93,11.4
1,Royal Challengers Bengaluru,3,D Padikkal,151,15.1
2,Chennai Super Kings,1,RD Gaikwad,9,1.5
2,Chennai Super Kings,2,A Mhatre,10,2.2
2,Chennai Super Kings,3,SV Samson,30,3.5
2,Chennai Super Kings,4,SN Khan,77,7.1
2,Chennai Super Kings,5,Kartik Sharma,84,7.5
2,Chennai Super Kings,6,S Dube,108,10.5
2,Chennai Super Kings,7,PR Veer,165,16.1
2,Chennai Super Kings,8,J Overton,178,17.1
2,Chennai Super Kings,9,Noor Ahmad,190,18.6
2,Chennai Super Kings,10,MJ Henry,207,20.4
