innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Kolkata Knight Riders,1,1,AM Rahane,Arshdeep Singh,FH Allen,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,1,2,FH Allen,Arshdeep Singh,AM Rahane,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,1,3,AM Rahane,Arshdeep Singh,FH Allen,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,1,4,AM Rahane,Arshdeep Singh,FH Allen,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,1,5,FH Allen,Arshdeep Singh,AM Rahane,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,1,6,FH Allen,Arshdeep Singh,AM Rahane,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,2,1,FH Allen,XC Bartlett,AM Rahane,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,2,2,FH Allen,XC Bartlett,AM Rahane,0,0,0,,0,0,0,0,0,False,,,,middle
1,Kolkata Knight Riders,2,3,FH Allen,XC Bartlett,AM Rahane,0,0,0,,0,0,0,0,0,False,,,,middle
1,Kolkata Knight Riders,2,4,FH Allen,XC Bartlett,AM Rahane,0,0,0,,0,0,0,0,0,True,caught,FH Allen,P Simran Singh,middle
1,Kolkata Knight Riders,2,5,C Green,XC Bartlett,AM Rahane,4,0,4,,0,0,0,0,0,False,,,,middle
1,Kolkata Knight Riders,2,6,C Green,XC Bartlett,AM Rahane,0,0,0,,0,0,0,0,0,True,caught,C Green,P Simran Singh,middle
1,Kolkata Knight Riders,3,1,AM Rahane,Arshdeep Singh,A Raghuvanshi,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kolkata Knight Riders,3,2,A Raghuvanshi,Arshdeep Singh,AM Rahane,0,0,0,,0,0,0,0,0,False,,,,middle
1,Kolkata Knight Riders,3,3,A Raghuvanshi,Arshdeep Singh,AM Rahane,1,0,1,,0,0,0,0,0,False,,,,death
1,Kolkata Knight Riders,3,4,AM Rahane,Arshdeep Singh,A Raghuvanshi,1,0,1,,0,0,0,0,0,False,,,,death
1,Kolkata Knight Riders,3,5,A Raghuvanshi,Arshdeep Singh,AM Rahane,0,0,0,,0,0,0,0,0,False,,,,death
1,Kolkata Knight Riders,3,6,A Raghuvanshi,Arshdeep Singh,AM Rahane,1,0,1,,0,0,0,0,0,False,,,,death
1,Kolkata Knight Riders,4,1,A Raghuvanshi,XC Bartlett,AM Rahane,0,0,0,,0,0,0,0,0,False,,,,death
1,Kolkata Knight Riders,4,2,A Raghuvanshi,XC Bartlett,AM Rahane,0,0,0,,0,0,0,0,0,False,,,,death
1,Kolkata Knight Riders,4,3,A Raghuvanshi,XC Bartlett,AM Rahane,5,0,5,,0,0,0,0,0,False,,,,death
1,Kolkata Knight Riders,4,4,AM Rahane,XC Bartlett,A Raghuvanshi,0,0,0,,0,0,0,0,0,False,,,,death
