innings,team,wicket_number,player_out,score,over
1,Rajasthan Royals,1,V Suryavanshi,80,5.6
1,Rajasthan Royals,2,Dhruv Jurel,84,6.4
1,Rajasthan Royals,3,R Parag,121,9.5
2,Mumbai Indians,1,RD Rickelton,10,1.6
2,Mumbai Indians,2,SA Yadav,20,2.4
2,Mumbai Indians,3,RG Sharma,22,3.3
2,Mumbai Indians,4,HH Pandya,41,5.3
2,Mumbai Indians,5,Tilak Varma,46,5.6
2,Mumbai Indians,6,SE Rutherford,93,8.5
2,Mumbai Indians,7,Naman Dhir,103,9.5
2,Mumbai Indians,8,SN Thakur,111,10.4
2,Mumbai Indians,9,TA Boult,116,11.1
