innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Gujarat Titans,B Sai Sudharsan,12,7,2,0,171.43,b Mukesh Kumar,1
1,Gujarat Titans,Shubman Gill,70,45,4,5,155.56,c N Rana b L Ngidi,2
1,Gujarat Titans,JC Buttler,52,27,3,5,192.59,b Kuldeep Yadav,3
1,Gujarat Titans,Washington Sundar,55,32,6,2,171.88,c N Rana b Mukesh Kumar,4
1,Gujarat Titans,GD Phillips,14,9,1,1,155.56,not out,5
1,Gujarat Titans,R Tewatia,1,1,0,0,100.0,not out,6
2,Delhi Capitals,P Nissanka,41,24,6,1,170.83,c R Tewatia b M Prasidh Krishna,1
2,Delhi Capitals,KL Rahul,92,52,11,4,176.92,c JC Buttler b Mohammed Siraj,2
2,Delhi Capitals,N Rana,5,6,1,0,83.33,c B Sai Sudharsan b Rashid Khan,3
2,Delhi Capitals,Sameer Rizvi,0,1,0,0,0.0,b Rashid Khan,4
2,Delhi Capitals,DA Miller,41,20,3,3,205.0,not out,5
2,Delhi Capitals,AR Patel,2,3,0,0,66.67,c GD Phillips b Rashid Khan,6
2,Delhi Capitals,T Stubbs,7,6,0,0,116.67,run out (B Sai Sudharsan),7
2,Delhi Capitals,V Nigam,12,7,2,0,171.43,c Shubman Gill b M Prasidh Krishna,8
2,Delhi Capitals,Kuldeep Yadav,1,1,0,0,100.0,run out (JC Buttler),9
