innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Kolkata Knight Riders,1,1,AM Rahane,Mohammed Shami,FH Allen,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,1,2,FH Allen,Mohammed Shami,AM Rahane,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,1,3,FH Allen,Mohammed Shami,AM Rahane,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,1,4,FH Allen,Mohammed Shami,AM Rahane,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,1,5,FH Allen,Mohammed Shami,AM Rahane,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,1,6,AM Rahane,Mohammed Shami,FH Allen,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,2,1.wides,FH Allen,Prince Yadav,AM Rahane,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,2,1,FH Allen,Prince Yadav,AM Rahane,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,2,2,FH Allen,Prince Yadav,AM Rahane,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,2,3,FH Allen,Prince Yadav,AM Rahane,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,2,4,FH Allen,Prince Yadav,AM Rahane,0,0,0,,0,0,0,0,0,True,caught,FH Allen,DS Rathi,powerplay
1,Kolkata Knight Riders,2,5,A Raghuvanshi,Prince Yadav,AM Rahane,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,2,6,AM Rahane,Prince Yadav,A Raghuvanshi,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,3,1,A Raghuvanshi,Mohammed Shami,AM Rahane,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,3,2,A Raghuvanshi,Mohammed Shami,AM Rahane,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,3,3,A Raghuvanshi,Mohammed Shami,AM Rahane,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,3,4,A Raghuvanshi,Mohammed Shami,AM Rahane,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,3,5,A Raghuvanshi,Mohammed Shami,AM Rahane,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,3,6,A Raghuvanshi,Mohammed Shami,AM Rahane,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,4,1,A Raghuvanshi,M Siddharth,AM Rahane,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,4,2.wides,A Raghuvanshi,M Siddharth,AM Rahane,0,2,2,wides,2,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,4,2,AM Rahane,M Siddharth,A Raghuvanshi,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,4,3,AM Rahane,M Siddharth,A Raghuvanshi,6,0,6,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,4,4,AM Rahane,M Siddharth,A Raghuvanshi,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,4,5,A Raghuvanshi,M Siddharth,AM Rahane,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,4,6,A Raghuvanshi,M Siddharth,AM Rahane,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,5,1,AM Rahane,DS Rathi,A Raghuvanshi,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,5,2,AM Rahane,DS Rathi,A Raghuvanshi,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,5,3,AM Rahane,DS Rathi,A Raghuvanshi,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,5,4,AM Rahane,DS Rathi,A Raghuvanshi,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,5,5,AM Rahane,DS Rathi,A Raghuvanshi,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,5,6,AM Rahane,DS Rathi,A Raghuvanshi,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,6,1,A Raghuvanshi,Avesh Khan,AM Rahane,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,6,2,A Raghuvanshi,Avesh Khan,AM Rahane,0,1,1,legbyes,0,0,0,1,0,False,,,,powerplay
1,Kolkata Knight Riders,6,3,AM Rahane,Avesh Khan,A Raghuvanshi,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,6,4,A Raghuvanshi,Avesh Khan,AM Rahane,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,6,5,A Raghuvanshi,Avesh Khan,AM Rahane,6,0,6,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,6,6,A Raghuvanshi,Avesh Khan,AM Rahane,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,7,1,AM Rahane,M Siddharth,A Raghuvanshi,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kolkata Knight Riders,7,2,A Raghuvanshi,M Siddharth,AM Rahane,2,0,2,,0,0,0,0,0,False,,,,middle
1,Kolkata Knight Riders,7,3,A Raghuvanshi,M Siddharth,AM Rahane,4,0,4,,0,0,0,0,0,False,,,,middle
1,Kolkata Knight Riders,7,4,A Raghuvanshi,M Siddharth,AM Rahane,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kolkata Knight Riders,7,5,AM Rahane,M Siddharth,A Raghuvanshi,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kolkata Knight Riders,7,6,A Raghuvanshi,M Siddharth,AM Rahane,0,0,0,,0,0,0,0,0,False,,,,middle
1,Kolkata Knight Riders,8,1,AM Rahane,DS Rathi,A Raghuvanshi,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kolkata Knight Riders,8,2,A Raghuvanshi,DS Rathi,AM Rahane,0,1,1,legbyes,0,0,0,1,0,False,,,,middle
1,Kolkata Knight Riders,8,3,AM Rahane,DS Rathi,A Raghuvanshi,4,0,4,,0,0,0,0,0,False,,,,middle
