innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Kolkata Knight Riders,TL Seifert,19,14,2,1,135.71,c GD Phillips b K Rabada,1
1,Kolkata Knight Riders,AM Rahane,0,1,0,0,0.0,c K Rabada b Mohammed Siraj,2
1,Kolkata Knight Riders,A Raghuvanshi,8,4,2,0,200.0,c JC Buttler b K Rabada,3
1,Kolkata Knight Riders,C Green,79,55,7,4,143.64,c JC Buttler b Rashid Khan,4
1,Kolkata Knight Riders,R Powell,27,20,2,2,135.0,c Mohammed Siraj b Ashok Sharma,5
1,Kolkata Knight Riders,AS Roy,9,7,1,0,128.57,c JC Buttler b M Prasidh Krishna,6
1,Kolkata Knight Riders,RK Singh,1,2,0,0,50.0,c JC Buttler b K Rabada,7
1,Kolkata Knight Riders,Ramandeep Singh,17,8,2,1,212.5,c Mohammed Siraj b Ashok Sharma,8
1,Kolkata Knight Riders,SP Narine,0,5,0,0,0.0,c GD Phillips b Mohammed Siraj,9
1,Kolkata Knight Riders,Kartik Tyagi,6,4,0,1,150.0,"run out (M Prasidh Krishna, JC Buttler)",10
1,Kolkata Knight Riders,VG Arora,0,1,0,0,0.0,not out,11
2,Gujarat Titans,B Sai Sudharsan,22,16,1,2,137.5,c Kartik Tyagi b SP Narine,1
2,Gujarat Titans,Shubman Gill,86,50,8,4,172.0,c C Green b VG Arora,2
2,Gujarat Titans,JC Buttler,25,15,2,2,166.67,c C Green b CV Varun,3
2,Gujarat Titans,Washington Sundar,13,13,1,0,100.0,c Kartik Tyagi b CV Varun,4
2,Gujarat Titans,GD Phillips,19,16,2,0,118.75,c RK Singh b Ramandeep Singh,5
2,Gujarat Titans,R Tewatia,7,6,0,0,116.67,not out,6
2,Gujarat Titans,M Shahrukh Khan,3,2,0,0,150.0,not out,7
