innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Mumbai Indians,1,1,Q de Kock,Mohammed Siraj,DV Malewar,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,1,2,Q de Kock,Mohammed Siraj,DV Malewar,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,1,3,DV Malewar,Mohammed Siraj,Q de Kock,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,1,4,DV Malewar,Mohammed Siraj,Q de Kock,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,1,5,Q de Kock,Mohammed Siraj,DV Malewar,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,1,6,Q de Kock,Mohammed Siraj,DV Malewar,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,2,1,DV Malewar,K Rabada,Q de Kock,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,2,2,Q de Kock,K Rabada,DV Malewar,6,0,6,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,2,3,Q de Kock,K Rabada,DV Malewar,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,2,4,Q de Kock,K Rabada,DV Malewar,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,2,5,DV Malewar,K Rabada,Q de Kock,0,0,0,,0,0,0,0,0,True,lbw,DV Malewar,,powerplay
1,Mumbai Indians,2,6,Naman Dhir,K Rabada,Q de Kock,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,3,1,Naman Dhir,Mohammed Siraj,Q de Kock,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,3,2,Q de Kock,Mohammed Siraj,Naman Dhir,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,3,3,Naman Dhir,Mohammed Siraj,Q de Kock,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,3,4,Naman Dhir,Mohammed Siraj,Q de Kock,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,3,5,Naman Dhir,Mohammed Siraj,Q de Kock,0,0,0,,0,0,0,0,0,False,,,,powerplay
