innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Punjab Kings,Arshdeep Singh,4.0,0,49,1,12.25,3,0,0
1,Punjab Kings,M Jansen,4.0,0,45,0,11.25,7,0,0
1,Punjab Kings,MP Stoinis,1.0,0,11,0,11.0,2,2,0
1,Punjab Kings,Vijaykumar Vyshak,3.0,0,48,0,16.0,4,1,0
1,Punjab Kings,XC Bartlett,4.0,0,69,1,17.25,1,1,0
1,Punjab Kings,YS Chahal,4.0,0,42,0,10.5,3,2,1
2,Delhi Capitals,AR Patel,4.0,0,44,1,11.0,5,1,0
2,Delhi Capitals,Auqib Nabi,2.0,0,41,0,20.5,3,1,1
2,Delhi Capitals,Kuldeep Yadav,4.0,0,46,2,11.5,8,2,0
2,Delhi Capitals,Mukesh Kumar,3.0,0,55,0,18.33,1,1,0
2,Delhi Capitals,T Natarajan,3.5,0,54,0,14.09,5,6,0
2,Delhi Capitals,V Nigam,2.0,0,24,1,12.0,3,1,0
