innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Sunrisers Hyderabad,E Malinga,4.0,0,38,2,9.5,11,1,0
1,Sunrisers Hyderabad,Nithish Kumar Reddy,2.0,0,20,1,10.0,4,2,0
1,Sunrisers Hyderabad,PJ Cummins,4.0,0,27,1,6.75,12,0,0
1,Sunrisers Hyderabad,PP Hinge,4.0,0,49,1,12.25,8,1,0
1,Sunrisers Hyderabad,Sakib Hussain,4.0,0,62,1,15.5,6,2,0
1,Sunrisers Hyderabad,Shivang Kumar,2.0,0,31,0,15.5,3,0,0
2,Rajasthan Royals,Brijesh Sharma,4.0,0,44,2,11.0,8,3,0
2,Rajasthan Royals,D Ferreira,1.0,0,14,1,14.0,1,0,0
2,Rajasthan Royals,JC Archer,4.0,0,34,2,8.5,13,1,0
2,Rajasthan Royals,N Burger,3.3,0,50,0,14.29,8,3,0
2,Rajasthan Royals,R Parag,1.0,0,12,0,12.0,0,0,0
2,Rajasthan Royals,RA Jadeja,1.0,0,11,0,11.0,2,1,0
2,Rajasthan Royals,Ravi Bishnoi,1.0,0,16,0,16.0,1,0,0
2,Rajasthan Royals,TU Deshpande,3.0,0,43,0,14.33,4,1,0
