innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,is_boundary,non_boundary_run,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Sunrisers Hyderabad,1,1,Abhishek Sharma,SP Narine,TM Head,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,1,2,Abhishek Sharma,SP Narine,TM Head,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,1,3,TM Head,SP Narine,Abhishek Sharma,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,1,4,Abhishek Sharma,SP Narine,TM Head,6,0,6,True,False,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,1,5,Abhishek Sharma,SP Narine,TM Head,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,1,6,Abhishek Sharma,SP Narine,TM Head,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,2,1,Abhishek Sharma,VG Arora,TM Head,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,2,2,TM Head,VG Arora,Abhishek Sharma,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,2,3,TM Head,VG Arora,Abhishek Sharma,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,2,4,TM Head,VG Arora,Abhishek Sharma,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,2,5,TM Head,VG Arora,Abhishek Sharma,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,2,6,TM Head,VG Arora,Abhishek Sharma,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,3,1,Abhishek Sharma,SP Narine,TM Head,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,3,2,TM Head,SP Narine,Abhishek Sharma,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,3,3,TM Head,SP Narine,Abhishek Sharma,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Sunrisers Hyderabad,3,4,TM Head,SP Narine,Abhishek Sharma,6,0,6,True,False,,0,0,0,0,0,False,,,,powerplay
