innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Mumbai Indians,AM Ghazanfar,4.0,0,50,1,12.5,5,0,0
1,Mumbai Indians,C Bosch,2.0,0,20,2,10.0,5,1,1
1,Mumbai Indians,DL Chahar,4.0,0,43,0,10.75,5,2,0
1,Mumbai Indians,JJ Bumrah,4.0,0,45,0,11.25,7,2,3
1,Mumbai Indians,Raghu Sharma,4.0,0,36,1,9.0,6,0,0
1,Mumbai Indians,WG Jacks,2.0,0,34,1,17.0,2,1,0
2,Lucknow Super Giants,Avesh Khan,3.4,0,56,0,15.27,2,2,0
2,Lucknow Super Giants,M Siddharth,4.0,0,47,2,11.75,5,0,0
2,Lucknow Super Giants,Mohammed Shami,4.0,0,53,1,13.25,5,0,0
2,Lucknow Super Giants,Mohsin Khan,4.0,0,47,1,11.75,8,1,0
2,Lucknow Super Giants,Prince Yadav,3.0,0,24,0,8.0,6,1,0
