innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,is_boundary,non_boundary_run,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Kolkata Knight Riders,1,1,AM Rahane,Mohammed Siraj,FH Allen,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,1,2,FH Allen,Mohammed Siraj,AM Rahane,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,1,3,AM Rahane,Mohammed Siraj,FH Allen,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,1,4,AM Rahane,Mohammed Siraj,FH Allen,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,1,5,AM Rahane,Mohammed Siraj,FH Allen,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,1,6,FH Allen,Mohammed Siraj,AM Rahane,2,0,2,False,False,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,2,1,AM Rahane,K Rabada,FH Allen,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,2,2,AM Rahane,K Rabada,FH Allen,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,2,3,AM Rahane,K Rabada,FH Allen,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,2,4,AM Rahane,K Rabada,FH Allen,6,0,6,True,False,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,2,5,AM Rahane,K Rabada,FH Allen,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,2,6,FH Allen,K Rabada,AM Rahane,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,3,1,FH Allen,Mohammed Siraj,AM Rahane,2,0,2,False,False,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,3,2,FH Allen,Mohammed Siraj,AM Rahane,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,3,3,FH Allen,Mohammed Siraj,AM Rahane,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,3,4,FH Allen,Mohammed Siraj,AM Rahane,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
