innings,team,wicket_number,player_out,score,over
1,Rajasthan Royals,1,YBK Jaiswal,19,2.5
1,Rajasthan Royals,2,V Suryavanshi,89,8.3
1,Rajasthan Royals,3,R Parag,161,15.2
1,Rajasthan Royals,4,D Ferreira,161,15.3
1,Rajasthan Royals,5,Ravi Singh,165,15.5
1,Rajasthan Royals,6,SB Dubey,173,17.5
1,Rajasthan Royals,7,MD Shanaka,187,19.5
1,Rajasthan Royals,8,Dhruv Jurel,191,20.4
2,Delhi Capitals,1,Abishek Porel,105,11.1
2,Delhi Capitals,2,SU Parakh,122,13.3
2,Delhi Capitals,3,KL Rahul,133,15.3
2,Delhi Capitals,4,T Stubbs,153,17.2
2,Delhi Capitals,5,DA Miller,175,19.1
