innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,is_boundary,non_boundary_run,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Gujarat Titans,1,1,B Sai Sudharsan,Mukesh Choudhary,Shubman Gill,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,1,2,Shubman Gill,Mukesh Choudhary,B Sai Sudharsan,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,1,3,Shubman Gill,Mukesh Choudhary,B Sai Sudharsan,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,1,4,Shubman Gill,Mukesh Choudhary,B Sai Sudharsan,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,1,5,Shubman Gill,Mukesh Choudhary,B Sai Sudharsan,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,1,6,Shubman Gill,Mukesh Choudhary,B Sai Sudharsan,3,0,3,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,2,1,Shubman Gill,SH Johnson,B Sai Sudharsan,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,2,2,Shubman Gill,SH Johnson,B Sai Sudharsan,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,2,3.wides,B Sai Sudharsan,SH Johnson,Shubman Gill,0,5,5,False,False,wides,5,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,2,3,B Sai Sudharsan,SH Johnson,Shubman Gill,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,2,4,Shubman Gill,SH Johnson,B Sai Sudharsan,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,2,5,Shubman Gill,SH Johnson,B Sai Sudharsan,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,2,6,Shubman Gill,SH Johnson,B Sai Sudharsan,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,3,1,B Sai Sudharsan,Mukesh Choudhary,Shubman Gill,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,3,2,Shubman Gill,Mukesh Choudhary,B Sai Sudharsan,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,3,3,B Sai Sudharsan,Mukesh Choudhary,Shubman Gill,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,3,4,B Sai Sudharsan,Mukesh Choudhary,Shubman Gill,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,3,5,B Sai Sudharsan,Mukesh Choudhary,Shubman Gill,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,3,6,B Sai Sudharsan,Mukesh Choudhary,Shubman Gill,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,4,1,B Sai Sudharsan,SH Johnson,Shubman Gill,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,4,2,B Sai Sudharsan,SH Johnson,Shubman Gill,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,4,3,Shubman Gill,SH Johnson,B Sai Sudharsan,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,4,4,B Sai Sudharsan,SH Johnson,Shubman Gill,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,4,5,Shubman Gill,SH Johnson,B Sai Sudharsan,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,4,6,Shubman Gill,SH Johnson,B Sai Sudharsan,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,5,1,B Sai Sudharsan,Gurjapneet Singh,Shubman Gill,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,5,2,B Sai Sudharsan,Gurjapneet Singh,Shubman Gill,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,5,3,B Sai Sudharsan,Gurjapneet Singh,Shubman Gill,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,5,4,B Sai Sudharsan,Gurjapneet Singh,Shubman Gill,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,5,5,Shubman Gill,Gurjapneet Singh,B Sai Sudharsan,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,5,6,B Sai Sudharsan,Gurjapneet Singh,Shubman Gill,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,6,1,B Sai Sudharsan,A Kamboj,Shubman Gill,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,6,2,B Sai Sudharsan,A Kamboj,Shubman Gill,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,6,3,Shubman Gill,A Kamboj,B Sai Sudharsan,6,0,6,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,6,4,Shubman Gill,A Kamboj,B Sai Sudharsan,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,6,5,B Sai Sudharsan,A Kamboj,Shubman Gill,0,1,1,False,False,legbyes,0,0,0,1,0,False,,,,powerplay
1,Gujarat Titans,6,6,Shubman Gill,A Kamboj,B Sai Sudharsan,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,7,1,Shubman Gill,Noor Ahmad,B Sai Sudharsan,6,0,6,True,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,7,2,Shubman Gill,Noor Ahmad,B Sai Sudharsan,2,0,2,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,7,3,Shubman Gill,Noor Ahmad,B Sai Sudharsan,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,7,4,B Sai Sudharsan,Noor Ahmad,Shubman Gill,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,7,5,Shubman Gill,Noor Ahmad,B Sai Sudharsan,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,7,6,Shubman Gill,Noor Ahmad,B Sai Sudharsan,6,0,6,True,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,8,1,B Sai Sudharsan,Gurjapneet Singh,Shubman Gill,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,8,2,Shubman Gill,Gurjapneet Singh,B Sai Sudharsan,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,8,3,Shubman Gill,Gurjapneet Singh,B Sai Sudharsan,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,8,4,B Sai Sudharsan,Gurjapneet Singh,Shubman Gill,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
