match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
3,2026-03-30,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",18,9,4,0,200.0,b A Kamboj,3
9,2026-04-04,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",75,42,5,5,178.57,c JC Buttler b Mohammed Siraj,3
13,2026-04-07,Mumbai Indians,"Barsapara Cricket Stadium, Guwahati",2,3,0,0,66.67,lbw b AM Ghazanfar,3
16,2026-04-10,Royal Challengers Bengaluru,"Barsapara Cricket Stadium, Guwahati",81,43,8,3,188.37,not out,3
21,2026-04-13,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,2,0,0,0.0,b PP Hinge,3
28,2026-04-19,Kolkata Knight Riders,"Eden Gardens, Kolkata",5,7,0,0,71.43,st TL Seifert b CV Varun,3
32,2026-04-22,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,1,0,0,0.0,c RR Pant b Mohammed Shami,3
36,2026-04-25,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",51,35,8,1,145.71,c Aniket Verma b Nithish Kumar Reddy,3
40,2026-04-28,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",16,20,0,1,80.0,c M Jansen b YS Chahal,3
43,2026-05-01,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",42,30,4,1,140.0,c T Stubbs b AR Patel,3
