match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
2,2026-03-29,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",81,43,4,8,188.37,run out (AS Roy),1
8,2026-04-04,Delhi Capitals,"Arun Jaitley Stadium, Delhi",9,11,2,0,81.82,c AR Patel b Mukesh Kumar,1
13,2026-04-07,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",8,4,0,1,200.0,c Dhruv Jurel b JC Archer,1
20,2026-04-12,Royal Challengers Bengaluru,"Wankhede Stadium, Mumbai",37,22,3,3,168.18,c B Kumar b Suyash Sharma,1
24,2026-04-16,Punjab Kings,"Wankhede Stadium, Mumbai",2,8,0,0,25.0,c Shashank Singh b Arshdeep Singh,1
41,2026-04-29,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",123,55,10,8,223.64,not out,2
44,2026-05-02,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",37,24,0,5,154.17,c Urvil Patel b Noor Ahmad,2
47,2026-05-04,Lucknow Super Giants,"Wankhede Stadium, Mumbai",83,32,6,8,259.38,c JP Inglis b Mohsin Khan,1
54,2026-05-10,Royal Challengers Bengaluru,"Shaheed Veer Narayan Singh International Stadium, Raipur",2,4,0,0,50.0,c RM Patidar b B Kumar,1
58,2026-05-14,Punjab Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",48,23,4,4,208.7,c Priyansh Arya b Azmatullah Omarzai,2
