match_number,opponent,bowler,overs,maidens,runs,wickets,economy,dots
5,Lucknow Super Giants,AR Patel,3.0,0,17,1,5.67,8
5,Lucknow Super Giants,Kuldeep Yadav,4.0,0,31,2,7.75,8
5,Lucknow Super Giants,L Ngidi,3.4,0,27,3,7.36,9
5,Lucknow Super Giants,Mukesh Kumar,3.0,0,17,0,5.67,10
5,Lucknow Super Giants,T Natarajan,4.0,0,29,3,7.25,8
5,Lucknow Super Giants,V Nigam,1.0,0,8,0,8.0,1
8,Mumbai Indians,AR Patel,4.0,0,22,1,5.5,8
8,Mumbai Indians,Kuldeep Yadav,3.0,0,31,0,10.33,3
8,Mumbai Indians,L Ngidi,4.0,0,34,1,8.5,8
8,Mumbai Indians,Mukesh Kumar,3.0,0,26,2,8.67,10
8,Mumbai Indians,T Natarajan,3.0,0,24,1,8.0,4
8,Mumbai Indians,V Nigam,3.0,0,24,1,8.0,7
14,Gujarat Titans,AR Patel,3.0,0,32,0,10.67,2
14,Gujarat Titans,Kuldeep Yadav,4.0,0,42,1,10.5,5
14,Gujarat Titans,L Ngidi,4.0,0,24,1,6.0,11
14,Gujarat Titans,Mukesh Kumar,4.0,0,55,2,13.75,8
14,Gujarat Titans,T Natarajan,4.0,0,34,0,8.5,4
14,Gujarat Titans,V Nigam,1.0,0,23,0,23.0,1
18,Chennai Super Kings,AR Patel,4.0,0,39,1,9.75,5
18,Chennai Super Kings,Auqib Nabi,2.0,0,17,0,8.5,4
18,Chennai Super Kings,Kuldeep Yadav,2.0,0,24,0,12.0,1
18,Chennai Super Kings,L Ngidi,4.0,0,41,0,10.25,6
18,Chennai Super Kings,Mukesh Kumar,4.0,0,37,0,9.25,7
18,Chennai Super Kings,T Natarajan,4.0,0,54,0,13.5,3
26,Royal Challengers Bengaluru,AR Patel,3.0,0,18,2,6.0,7
26,Royal Challengers Bengaluru,Auqib Nabi,3.0,0,36,0,12.0,1
26,Royal Challengers Bengaluru,Kuldeep Yadav,4.0,0,32,2,8.0,6
26,Royal Challengers Bengaluru,L Ngidi,4.0,0,39,2,9.75,6
26,Royal Challengers Bengaluru,Mukesh Kumar,4.0,0,32,1,8.0,10
26,Royal Challengers Bengaluru,T Natarajan,2.0,0,16,0,8.0,5
31,Sunrisers Hyderabad,AR Patel,2.0,0,23,1,11.5,1
31,Sunrisers Hyderabad,Kuldeep Yadav,2.0,0,30,0,15.0,2
31,Sunrisers Hyderabad,L Ngidi,4.0,0,41,0,10.25,7
31,Sunrisers Hyderabad,Mukesh Kumar,4.0,0,53,0,13.25,6
31,Sunrisers Hyderabad,N Rana,4.0,0,55,0,13.75,7
31,Sunrisers Hyderabad,T Natarajan,4.0,0,40,0,10.0,3
35,Punjab Kings,AR Patel,4.0,0,44,1,11.0,5
35,Punjab Kings,Auqib Nabi,2.0,0,41,0,20.5,3
35,Punjab Kings,Kuldeep Yadav,4.0,0,46,2,11.5,8
35,Punjab Kings,Mukesh Kumar,3.0,0,55,0,18.33,1
35,Punjab Kings,T Natarajan,3.5,0,54,0,14.09,5
35,Punjab Kings,V Nigam,2.0,0,24,1,12.0,3
