match_number,opponent,batter,runs,balls,fours,sixes,strike_rate,dismissal
1,Sunrisers Hyderabad,PD Salt,8,7,2,0,114.29,c H Klaasen b JD Unadkat
1,Sunrisers Hyderabad,V Kohli,69,38,5,5,181.58,not out
1,Sunrisers Hyderabad,D Padikkal,61,26,7,4,234.62,c H Klaasen b Harsh Dubey
1,Sunrisers Hyderabad,RM Patidar,31,12,2,3,258.33,c Harsh Dubey b DA Payne
1,Sunrisers Hyderabad,JM Sharma,0,1,0,0,0.0,c JD Unadkat b DA Payne
1,Sunrisers Hyderabad,TH David,16,10,1,1,160.0,not out
11,Chennai Super Kings,PD Salt,46,30,3,2,153.33,c Noor Ahmad b S Dube
11,Chennai Super Kings,V Kohli,28,18,2,1,155.56,c S Dube b A Kamboj
11,Chennai Super Kings,D Padikkal,50,29,5,2,172.41,b J Overton
11,Chennai Super Kings,RM Patidar,48,19,1,6,252.63,not out
11,Chennai Super Kings,TH David,70,25,3,8,280.0,not out
