match_number,opponent,bowler,overs,maidens,runs,wickets,economy,dots
1,Sunrisers Hyderabad,Abhinandan Singh,3.0,0,38,1,12.67,7
1,Sunrisers Hyderabad,B Kumar,4.0,0,31,1,7.75,7
1,Sunrisers Hyderabad,JA Duffy,4.0,0,22,3,5.5,13
1,Sunrisers Hyderabad,KH Pandya,2.0,0,26,0,13.0,1
1,Sunrisers Hyderabad,R Shepherd,4.0,0,54,3,13.5,5
1,Sunrisers Hyderabad,Suyash Sharma,3.0,0,28,1,9.33,6
11,Chennai Super Kings,Abhinandan Singh,3.4,0,30,2,8.18,6
11,Chennai Super Kings,B Kumar,4.0,0,41,3,10.25,10
11,Chennai Super Kings,JA Duffy,4.0,0,58,2,14.5,6
11,Chennai Super Kings,KH Pandya,3.0,0,36,2,12.0,7
11,Chennai Super Kings,R Shepherd,1.0,0,19,0,19.0,0
11,Chennai Super Kings,Suyash Sharma,4.0,0,21,1,5.25,9
